No in list,File (new name),Name of Differentiation,time of differentiation [h],replicate,differentiation protocol,cell line,compound,study,treatment_start [h],treatment_end [h],compound_concentration [M]
86,UKN1_sat_c_VPA_550µM_D12_27NS_152.CEL,D12_27NS,144,C,UKN1,H9-hESC,VPA,VPA sat conc,0,144,5.50E-004
87,UKN1_sat_c_VPA_450µM_D12_25NS_153.CEL,D12_25NS,144,A,UKN1,H9-hESC,VPA,VPA sat conc,0,144,4.50E-004
88,UKN1_sat_c_VPA_450µM_D12_26NS_154.CEL,D12_26NS,144,B,UKN1,H9-hESC,VPA,VPA sat conc,0,144,4.50E-004
89,UKN1_sat_c_VPA_450µM_D12_27NS_155.CEL,D12_27NS,144,C,UKN1,H9-hESC,VPA,VPA sat conc,0,144,4.50E-004
90,UKN1_sat_c_VPA_350µM_D12_25NS_156.CEL,D12_25NS,144,A,UKN1,H9-hESC,VPA,VPA sat conc,0,144,3.50E-004
91,UKN1_sat_c_VPA_350µM_D12_26NS_157.CEL,D12_26NS,144,B,UKN1,H9-hESC,VPA,VPA sat conc,0,144,3.50E-004
92,UKN1_sat_c_VPA_350µM_D12_27NS_158.CEL,D12_27NS,144,C,UKN1,H9-hESC,VPA,VPA sat conc,0,144,3.50E-004
93,UKN1_sat_c_VPA_150µM_D12_25NS_159.CEL,D12_25NS,144,A,UKN1,H9-hESC,VPA,VPA sat conc,0,144,1.50E-004
94,UKN1_sat_c_VPA_150µM_D12_26NS_160.CEL,D12_26NS,144,B,UKN1,H9-hESC,VPA,VPA sat conc,0,144,1.50E-004
95,UKN1_sat_c_VPA_150µM_D12_27NS_161.CEL,D12_27NS,144,C,UKN1,H9-hESC,VPA,VPA sat conc,0,144,1.50E-004
96,UKN1_sat_c_VPA_25µM_D12_25NS_162.CEL,D12_25NS,144,A,UKN1,H9-hESC,VPA,VPA sat conc,0,144,2.50E-005
97,UKN1_sat_c_VPA_25µM_D12_26NS_163.CEL,D12_26NS,144,B,UKN1,H9-hESC,VPA,VPA sat conc,0,144,2.50E-005
98,UKN1_sat_c_VPA_25µM_D12_27NS_164.CEL,D12_27NS,144,C,UKN1,H9-hESC,VPA,VPA sat conc,0,144,2.50E-005
99,UKN1_sat_c_untr_D12_25NS_165.CEL,D12_25NS,144,A,UKN1,H9-hESC,untreated,VPA sat conc,,,
100,UKN1_sat_c_untr_D12_26NS_166.CEL,D12_26NS,144,B,UKN1,H9-hESC,untreated,VPA sat conc,,,
101,UKN1_sat_c_untr_D12_27NS_167.CEL,D12_27NS,144,C,UKN1,H9-hESC,untreated,VPA sat conc,,,
102,UKN1_sat_c_untr_D12_25NS_168.CEL,D12_25NS,144,D,UKN1,H9-hESC,untreated,VPA sat conc,,,
103,UKN1_sat_c_untr_D12_26NS_169.CEL,D12_26NS,144,E,UKN1,H9-hESC,untreated,VPA sat conc,,,
104,UKN1_sat_c_untr_D12_27NS_170.CEL,D12_27NS,144,F,UKN1,H9-hESC,untreated,VPA sat conc,,,
105,Dreser_1.1_(HG-U133_Plus_2),D14_17 MK,144,E,UKN1,H9-hESC,untreated,timecourse,,,
106,Dreser_1.2_(HG-U133_Plus_2),D14_17 MK,72,E,UKN1,H9-hESC,untreated,timecourse,,,
107,Dreser_1.3_(HG-U133_Plus_2),D14_17 MK,0,E,UKN1,H9-hESC,untreated,timecourse,,,
108,Dreser_1.6_(HG-U133_Plus_2),D14_17 MK,72,E,UKN1,H9-hESC,VPA,timecourse,0,72,6.00E-004
109,Dreser_1.9_(HG-U133_Plus_2),D14_17 MK,144,E,UKN1,H9-hESC,VPA,timecourse,0,144,6.00E-004
110,Dreser_1.10_(HG-U133_Plus_2),D14_17 MK,144,E,UKN1,H9-hESC,VPA,timecourse,24,96,6.00E-004
111,Dreser_1.11_(HG-U133_Plus_2),D14_17 MK,144,E,UKN1,H9-hESC,VPA,timecourse,72,144,6.00E-004
112,Dreser_2.1_(HG-U133_Plus_2),D14_18 MK,144,F,UKN1,H9-hESC,untreated,timecourse,,,
113,Dreser_2.2_(HG-U133_Plus_2),D14_18 MK,72,F,UKN1,H9-hESC,untreated,timecourse,,,
114,Dreser_2.3_(HG-U133_Plus_2),D14_18 MK,0,F,UKN1,H9-hESC,untreated,timecourse,,,
115,Dreser_2.4_(HG-U133_Plus_2),D14_18 MK,24,F,UKN1,H9-hESC,VPA,timecourse,0,24,6.00E-004
116,Dreser_2.5_(HG-U133_Plus_2),D14_18 MK,48,F,UKN1,H9-hESC,VPA,timecourse,0,48,6.00E-004
117,Dreser_2.6_(HG-U133_Plus_2),D14_18 MK,72,F,UKN1,H9-hESC,VPA,timecourse,0,72,6.00E-004
118,Dreser_2.7_(HG-U133_Plus_2),D14_18 MK,96,F,UKN1,H9-hESC,VPA,timecourse,0,96,6.00E-004
119,Dreser_2.9_(HG-U133_Plus_2),D14_18 MK,144,F,UKN1,H9-hESC,VPA,timecourse,0,144,6.00E-004
120,Dreser_2.10_(HG-U133_Plus_2),D14_18 MK,144,F,UKN1,H9-hESC,VPA,timecourse,24,96,6.00E-004
121,Dreser_2.11_(HG-U133_Plus_2),D14_18 MK,144,F,UKN1,H9-hESC,VPA,timecourse,24,72,6.00E-004
122,Dreser_2.12_(HG-U133_Plus_2),D14_18 MK,144,F,UKN1,H9-hESC,VPA,timecourse,72,144,6.00E-004
123,Dreser_3.1_(HG-U133_Plus_2),D14_19 MK,144,G,UKN1,H9-hESC,untreated,timecourse,,,
124,Dreser_3.2_(HG-U133_Plus_2),D14_19 MK,72,G,UKN1,H9-hESC,untreated,timecourse,,,
125,Dreser_3.3_(HG-U133_Plus_2),D14_19 MK,0,G,UKN1,H9-hESC,untreated,timecourse,,,
126,Dreser_3.4_(HG-U133_Plus_2),D14_19 MK,24,G,UKN1,H9-hESC,VPA,timecourse,0,24,6.00E-004
127,Dreser_3.5_(HG-U133_Plus_2),D14_19 MK,48,G,UKN1,H9-hESC,VPA,timecourse,0,48,6.00E-004
128,Dreser_3.6_(HG-U133_Plus_2),D14_19 MK,72,G,UKN1,H9-hESC,VPA,timecourse,0,72,6.00E-004
129,Dreser_3.7_(HG-U133_Plus_2),D14_19 MK,96,G,UKN1,H9-hESC,VPA,timecourse,0,96,6.00E-004
130,Dreser_3.9_(HG-U133_Plus_2),D14_19 MK,144,G,UKN1,H9-hESC,VPA,timecourse,0,144,6.00E-004
131,Dreser_3.10_(HG-U133_Plus_2),D14_19 MK,144,G,UKN1,H9-hESC,VPA,timecourse,24,96,6.00E-004
132,Dreser_3.11_(HG-U133_Plus_2),D14_19 MK,144,G,UKN1,H9-hESC,VPA,timecourse,24,72,6.00E-004
133,Dreser_3.12_(HG-U133_Plus_2),D14_19 MK,144,G,UKN1,H9-hESC,VPA,timecourse,72,144,6.00E-004
134,Dreser_4.1_(HG-U133_Plus_2),D14_23 ND,144,H,UKN1,H9-hESC,untreated,timecourse,,,
135,Dreser_4.2_(HG-U133_Plus_2),D14_23 ND,72,H,UKN1,H9-hESC,untreated,timecourse,,,
136,Dreser_4.3_(HG-U133_Plus_2),D14_23 ND,0,H,UKN1,H9-hESC,untreated,timecourse,,,
137,Dreser_4.6_(HG-U133_Plus_2),D14_23 ND,72,H,UKN1,H9-hESC,VPA,timecourse,0,72,6.00E-004
138,Dreser_4.9_(HG-U133_Plus_2),D14_23 ND,144,H,UKN1,H9-hESC,VPA,timecourse,0,144,6.00E-004
139,Dreser_4.10_(HG-U133_Plus_2),D14_23 ND,144,H,UKN1,H9-hESC,VPA,timecourse,24,96,6.00E-004
140,Dreser_4.11_(HG-U133_Plus_2),D14_23 ND,144,H,UKN1,H9-hESC,VPA,timecourse,24,72,6.00E-004
